date,e,c,h,g,ne
2021-01-01 00:00:00,16860.9,1781.79,11.37,16.5,1.21
2021-01-01 01:00:00,17310.05,1731.74,11.67,16.73,1.26
2021-01-01 02:00:00,17584.92,1753.03,11.56,16.93,1.22
2021-01-01 03:00:00,17561.19,1709.35,11.75,16.85,1.23
2021-01-01 04:00:00,17649.6,1845.98,11.9,17.23,1.29
2021-01-01 05:00:00,18381.6,1849.44,12.24,17.76,1.25
2021-01-01 06:00:00,18971.25,2043.01,12.17,18.54,1.15
2021-01-01 07:00:00,19510.04,2007.81,12.74,18.9,8.87
2021-01-01 08:00:00,18511.43,2057.83,12.71,18.38,648.6
2021-01-01 09:00:00,17369.15,2020.87,11.98,17.46,3813.78
2021-01-01 10:00:00,17111.55,2307.92,11.34,17.81,6367.79
2021-01-01 11:00:00,17177.09,2589.86,10.1,18.24,7948.82
2021-01-01 12:00:00,17025.62,2881.66,9.52,18.68,9054.19
2021-01-01 13:00:00,16887.72,3145.22,9.33,19.14,9231.43
2021-01-01 14:00:00,16902.2,3263.28,9.17,19.37,8637.02
2021-01-01 15:00:00,17593.14,3560.71,9.12,20.45,7025.59
2021-01-01 16:00:00,17292.16,3543.14,9.21,20.24,3179.56
2021-01-01 17:00:00,16886.41,3278.69,9.78,19.51,761.15
2021-01-01 18:00:00,17024.93,2940.68,10.15,18.92,369.42
2021-01-01 19:00:00,16984.17,2710.43,10.42,18.44,1.11
2021-01-01 20:00:00,16837.24,2614.71,10.82,18.21,1.1
2021-01-01 21:00:00,16657.5,2343.26,10.83,17.51,1.11
2021-01-01 22:00:00,16293.29,2080.72,11.28,16.79,1.15
2021-01-01 23:00:00,15272.13,1805.31,11.37,15.56,1.15
2021-01-02 00:00:00,14614.25,1592.0,11.97,14.79,1.21
2021-01-02 01:00:00,14690.22,1587.4,12.16,14.87,1.23
2021-01-02 02:00:00,15387.06,1627.4,12.12,15.38,1.25
2021-01-02 03:00:00,15416.09,1672.99,12.41,15.55,1.24
2021-01-02 04:00:00,15185.5,1619.23,13.15,15.43,1.22
2021-01-02 05:00:00,15701.27,1647.01,13.5,15.87,1.23
2021-01-02 06:00:00,17111.96,1976.94,13.6,17.49,1.22
2021-01-02 07:00:00,17196.8,1977.09,14.17,17.65,17.81
2021-01-02 08:00:00,16589.41,2029.38,13.7,17.3,812.71
2021-01-02 09:00:00,16114.68,1976.05,13.05,16.77,3317.2
2021-01-02 10:00:00,16808.54,2349.02,12.75,17.97,6434.78
2021-01-02 11:00:00,16672.39,2480.31,11.54,17.95,7773.73
2021-01-02 12:00:00,16724.0,2735.58,10.15,18.29,9076.97
2021-01-02 13:00:00,16551.86,2974.56,9.82,18.64,6611.87
