campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Downtown,, , ,2012,4, , ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-03-31T00:00:00.000
Downtown,, , ,2012,5, , ,0,12792.15,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-04-30T00:00:00.000
Downtown,, , ,2012,6, , ,63009.49,13165.26,75926.1,-0.01,1126.11,205.81,18003,4500680,1720,76292,19068082,7289,0,0,0,94294,23568761,613455,0,7,2012-05-31T00:00:00.000
Downtown,, , ,2012,7, , ,290121.7,11766.48,206784.7,-0.01,3471.35,634.44,82892,20722987,7919,207780,51931909,19851,0,0,0,290672,72654896,1682123,0,7,2012-06-30T00:00:00.000
Downtown,, , ,2012,8, , ,368195.7,11825.93,244547.8,-0.01,4190.91,765.96,105199,26299703,10051,245725,61415733,23477,0,0,0,350924,87715436,1991722,0,7,2012-07-31T00:00:00.000
Downtown,, , ,2012,9, , ,428806.94,10758.05,212456.37,-0.01,4012.63,733.39,122516,30629079,11705,213479,53356292,20396,0,0,0,335996,83985372,1740810,0,7,2012-08-31T00:00:00.000
Downtown,, , ,2012,10, , ,452026.66,11105.81,202562.5,-0.01,3973.13,726.17,129150,32287631,12339,203538,50871546,19446,0,0,0,332688,83159177,1663888,0,7,2012-09-30T00:00:00.000
Downtown,, , ,2012,11, , ,407542.22,8683,145297.03,-0.01,3134.16,572.84,116441,29110170,11125,145997,36489895,13949,0,0,0,262437,65600065,1201496,0,7,2012-10-31T00:00:00.000
Downtown,, , ,2012,12, , ,412334.22,7664.82,114836.73,-0.01,2784.98,509.03,117810,29452456,11255,115390,28840096,11024,0,0,0,233199,58292552,958274,0,7,2012-11-30T00:00:00.000
Downtown,, , ,2013,1, , ,384597.43,8335.43,31233.8,-0.01,1687.11,308.39,109885,27471256,10498,31384,7844057,2998,0,0,0,141269,35315313,286791,0,7,2012-12-31T00:00:00.000
Downtown,, , ,2013,2, , ,434095.98,9220.41,40477.94,-0.01,1966.93,359.54,124027,31006868,11850,40673,10165631,3886,0,0,0,164700,41172499,365496,0,7,2013-01-31T00:00:00.000
Downtown,, , ,2013,3, , ,580695.57,11754.51,84910,-0.01,3000.34,548.42,165913,41478272,15851,85319,21324297,8151,0,0,0,251232,62802569,735024,0,7,2013-02-28T00:00:00.000
Downtown,, , ,2013,4, , ,615948.71,13160.57,106928.83,-0.01,3384.85,618.69,175985,43996354,16814,107444,26854107,10265,0,0,0,283429,70850461,914559,0,7,2013-03-31T00:00:00.000
Downtown,, , ,2013,5, , ,653386.18,13557.88,151604.44,-0.01,4048.7,740.02,186682,46670460,17835,152334,38073940,14554,0,0,0,339016,84744401,1275556,0,7,2013-04-30T00:00:00.000
Downtown,, , ,2013,6, , ,706863.3,12767.55,155616.72,-0.01,4279.32,782.17,201961,50490256,19295,156366,39081582,14939,0,0,0,358327,89571838,1312788,0,7,2013-05-31T00:00:00.000
Downtown,, , ,2013,7, , ,759161.05,11635.21,181917.68,-0.01,4773.38,872.47,216903,54225811,20723,182794,45686806,17464,0,0,0,399697,99912617,1528215,0,7,2013-06-30T00:00:00.000
Downtown,, , ,2013,8, , ,754816.05,11039.31,205507.68,-0.01,5041.63,921.49,215662,53915454,20604,206497,51611198,19729,0,0,0,422159,105526652,1716518,0,7,2013-07-31T00:00:00.000
Downtown,, , ,2013,9, , ,699727.1,11277.98,213761.8,-0.01,4952.71,905.23,199922,49980527,19100,214791,53684139,20521,0,0,0,414713,103664666,1777262,0,7,2013-08-31T00:00:00.000
Downtown,, , ,2013,10, , ,599879.85,11533.76,109793.63,-0.01,3364.4,614.95,171394,42848578,16375,110322,27573571,10540,0,0,0,281717,70422149,935934,0,7,2013-09-30T00:00:00.000
Downtown,, , ,2013,11, , ,584766.57,8111.36,70439.05,-0.01,2840.58,519.22,167076,41769057,15962,70778,17690062,6762,0,0,0,237854,59459119,619648,0,7,2013-10-31T00:00:00.000
Downtown,, , ,2013,12, , ,602546.2,8122.5,39563.49,-0.01,2530.74,462.6,172156,43039031,16448,39754,9935975,3798,0,0,0,211910,52975007,374351,0,7,2013-11-30T00:00:00.000
Downtown,, , ,2014,1, , ,616941.36,7940.15,51236.54,-0.01,2719.93,497.18,176269,44067258,16841,51483,12867545,4919,0,0,0,227752,56934803,469117,0,7,2013-12-31T00:00:00.000
Downtown,, , ,2014,2, , ,565153.75,8299.18,59068.48,-0.01,2637.21,482.05,161472,40368141,15427,59353,14834458,5671,0,0,0,220825,55202599,526801,0,7,2014-01-31T00:00:00.000
Downtown,, , ,2014,3, , ,615100.63,11458.89,75674.09,-0.01,3006.9,549.62,175743,43935777,16790,76038,19004791,7265,0,0,0,251782,62940568,664440,0,7,2014-02-28T00:00:00.000
Downtown,, , ,2014,4, , ,651396.44,12836.33,101785.85,-0.01,3444.09,629.52,186113,46528336,17781,102276,25562499,9771,0,0,0,288389,72090835,876818,0,7,2014-03-31T00:00:00.000
Downtown,, , ,2014,5, , ,705065.92,13108,132393.81,-0.01,3994.51,730.12,201447,50361872,19246,133031,33249382,12710,0,0,0,334479,83611254,1126833,0,7,2014-04-30T00:00:00.000
Downtown,, , ,2014,6, , ,790888.36,11932.6,172836.18,-0.01,4772.66,872.35,225968,56492048,21589,173668,43406077,16592,0,0,0,399636,99898125,1458610,0,7,2014-05-31T00:00:00.000
Downtown,, , ,2014,7, , ,863316.16,12061.53,208793.8,-0.01,5451.28,996.38,246662,61665464,23566,209799,52436474,20044,0,0,0,456461,114101939,1753222,0,7,2014-06-30T00:00:00.000
Downtown,, , ,2014,8, , ,821861.9,11943.67,139021.79,-0.01,4472.57,817.51,234818,58704445,22434,139691,34913933,13346,0,0,0,374509,93618378,1191069,0,7,2014-07-31T00:00:00.000
