GHG,Total#Houses,Totallightbulbs,Totalgalsgas,DOW
0.0,0.0,0.0,0.0,7.0
0.0,204.73584749999998,511.7367232125,1331.9641687499998,7.0
0.0,314.706225,786.6073983750001,2047.4060624999997,7.0
0.0,497.39856062499996,1243.2469282343752,3228.9091153125,7.0
0.0,1155.1015,2887.1732225000005,7514.82375,7.0
0.0,1034.00359971875,2584.490170644531,6715.354420734375,7.0
0.0,1466.1898724999999,3664.7428855875,9468.18174375,7.0
0.0,1485.1405242953126,3712.108212444243,9616.166842516404,7.0
0.0,1414.4099999999999,3535.3141499999997,9201.824999999999,7.0
0.0,1745.2407724521095,4362.229208171067,11293.103009737617,7.0
0.0,2705.0946135,6761.3809082025,17544.66264,7.0
0.0,2676.077385122114,6688.857633571447,17283.494543738103,7.0
0.0,3896.5469249999996,9739.442848875,24879.960562499997,7.0
0.0,4003.7293774961336,10007.332832189277,25747.796603921357,7.0
0.0,4493.1819135999995,11230.722814904,28867.7668965,7.0
0.0,5262.35425414943,13153.261898557115,33944.02497256285,7.0
0.0,9429.4,23568.761000000002,61345.5,7.0
0.0,7645.2016358283345,19109.177967001182,49513.231311957636,7.0
0.0,7995.687518315,19985.244128504728,51410.1268236,7.0
0.0,7589.90583576196,18970.99833533909,48708.040195516514,7.0
0.0,7410.2033925,18521.8384453875,47456.95393125,7.0
0.0,8716.11942905824,21786.018536242067,55309.684129883724,7.0
0.0,8647.78957099475,21615.235633761924,54762.36342340875,7.0
0.0,9508.53638782285,23766.703052875113,59904.36786015288,7.0
0.0,14602.256999999998,36498.642255000006,90298.17000000001,7.0
0.0,12359.876179129198,30893.732461482854,76886.08146517814,7.0
0.0,11053.382695936962,27628.122643492854,68840.75006276194,7.0
0.0,10847.386834521516,27113.224491722896,67667.60059329895,7.0
0.0,11036.780056374999,27586.611720520625,68908.6524459375,7.0
0.0,9961.475741524691,24898.877240383263,62108.995056305284,7.0
0.0,10029.104020104394,25067.92707818821,62366.64369486611,7.0
0.0,8120.252946362252,20296.71638111927,50536.29168449072,7.0
0.0,0.0,0.0,0.0,7.0
0.0,4564.285281763492,11408.52402203928,28239.965943829506,7.0
0.0,6832.09785803623,17076.951125430296,42502.0684806483,7.0
0.0,8696.504300540664,21737.0911261289,53785.63452099968,7.0
0.0,13252.850869512498,33125.86172018519,80733.12413428124,7.0
0.0,13584.907739927276,33955.76771892033,83855.51208381438,7.0
0.0,15204.692096270748,38004.46354682277,93712.31680127227,7.0
0.0,16085.150055578872,40205.1484543818,99683.51712388337,7.0
0.0,22344.663549999997,55850.705413250005,141530.283,7.0
0.0,21281.337658782395,53193.02292124981,133253.2552567082,7.0
0.0,23902.474889131132,59744.70465889363,148139.56024477226,7.0
0.0,24438.12086121021,61083.59216299516,151043.45096861135,7.0
0.0,28773.834838657498,71920.84512514537,177205.01195031873,7.0
0.0,32205.168593309678,80497.6432975607,196915.73789848672,7.0
0.0,33790.62439042548,84460.5384050104,206502.11037960005,7.0
0.0,37279.679469906776,93181.60200647757,226709.71117986247,7.0
0.0,58687.84,146692.3616,350471.25,7.0
0.0,52163.788884653164,130385.06314355295,314266.73624415335,7.0
0.0,50862.32190787691,127131.9565984468,307089.59703281365,7.0
0.0,50641.97053920402,126581.08295895897,307127.59564071824,7.0
0.0,54946.905280999876,137341.0954892141,337367.51187597594,7.0
0.0,54504.742992920255,136236.02654884427,332892.57373198855,7.0
0.0,54162.37513426934,135380.20664172742,331666.88788305793,7.0
0.0,55246.77823387951,138090.72679046023,337918.81609180005,7.0
0.0,58175.249682500005,145410.60248423752,354595.7267,7.0
0.0,59455.847061390836,148611.36552563563,364144.4941791518,7.0
0.0,61993.947115113966,154955.20818738357,382493.67521400977,7.0
0.0,63146.18277446584,157835.23127229302,389808.6546569504,7.0
0.0,69542.24316170324,173822.21194216702,430801.22347187944,7.0
0.0,70530.26049324576,176291.5650335683,439923.9760420636,7.0
0.0,72748.17860056795,181835.17879384835,455280.7779311078,7.0
0.0,76453.5874289397,191096.691871818,481429.25445380236,7.0
0.0,94294.0,235687.61000000002,613455.0,7.0
0.0,87874.41041120721,219642.47877199485,563108.9358098508,7.0
0.0,91706.27184814861,229220.55728419527,583159.3574416256,7.0
0.0,89807.22382901733,224474.0053525894,569215.0226565235,7.0
0.0,95092.06038064531,237683.79507767368,598625.1549130843,7.0
0.0,95952.9203895378,239835.55852275182,603605.1762908526,7.0
0.0,97956.82190856463,244844.71606152435,610920.9990485435,7.0
0.0,100439.62125709542,251050.52999839492,626197.2684534828,7.0
0.0,119589.62872325,298917.16759074875,733519.051595,7.0
0.0,114159.37153304496,285343.92956570437,702674.6939184631,7.0
0.0,116382.25797704837,290900.20627256663,714618.3392760465,7.0
0.0,116756.18757531815,291834.94447496603,715629.661896842,7.0
0.0,122459.8324734461,306091.7947741057,744323.0933244838,7.0
0.0,123310.06774872028,308216.9531811764,749842.7722466632,7.0
0.0,124907.89624508667,312210.84110771294,758565.5468196769,7.0
0.0,127104.49000484534,317701.3739918823,770698.718689525,7.0
0.0,138598.916,346432.58534000005,832403.3374999999,7.0
0.0,137087.75425487472,342655.2843336506,824853.4902126195,7.0
0.0,139641.43580754826,349038.38609775517,838979.2334699599,7.0
0.0,141588.2294509759,353904.51357992995,849985.0060048313,7.0
0.0,156351.2172094989,390805.5337262265,932586.4873617359,7.0
0.0,152490.1336657096,381154.57328483666,910123.6932951352,7.0
0.0,155719.6060002507,389226.8841752152,927643.8913932466,7.0
0.0,157264.72962655756,393089.06190738035,935680.3299657305,7.0
0.0,169411.669050575,423451.48317164864,998402.8604232499,7.0
0.0,169767.80725892403,424341.52372067445,1002455.3179801085,7.0
0.0,183520.0525387189,458716.0847289292,1080017.933317873,7.0
0.0,181369.05959693302,453339.53210062627,1068112.9647526273,7.0
0.0,186952.420422741,467295.5281092011,1098867.7894642942,7.0
0.0,201053.61347257043,502542.3155937066,1178269.4378848835,7.0
0.0,203745.26212668055,509270.2577094227,1193374.9898045738,7.0
0.0,222387.96022358272,555868.8302391787,1298082.6520839743,7.0
0.0,290672.0,726548.96,1682123.0,7.0
0.0,261616.22937991572,653922.3219676245,1518197.5414385085,7.0
0.0,257815.07902194734,644421.1507668941,1496256.4461195755,7.0
0.0,251288.14644847848,628106.7044820446,1459280.1616523145,7.0
