campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Downtown,, , ,2012,4,20, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2012-04-20T00:00:00.000
Downtown,, , ,2012,4,21, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-04-21T00:00:00.000
Downtown,, , ,2012,4,22, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-04-22T00:00:00.000
Downtown,, , ,2012,4,23, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012-04-23T00:00:00.000
Downtown,, , ,2012,4,24, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2012-04-24T00:00:00.000
Downtown,, , ,2012,4,25, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2012-04-25T00:00:00.000
Downtown,, , ,2012,4,26, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2012-04-26T00:00:00.000
Downtown,, , ,2012,4,27, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2012-04-27T00:00:00.000
Downtown,, , ,2012,4,28, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-04-28T00:00:00.000
Downtown,, , ,2012,4,29, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-04-29T00:00:00.000
Downtown,, , ,2012,4,30, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012-04-30T00:00:00.000
Downtown,, , ,2012,5,1, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2012-05-01T00:00:00.000
Downtown,, , ,2012,5,2, ,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2012-05-02T00:00:00.000
Downtown,, , ,2012,5,3, ,0,109.65,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2012-05-03T00:00:00.000
Downtown,, , ,2012,5,4, ,0,458.49,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2012-05-04T00:00:00.000
Downtown,, , ,2012,5,5, ,0,430.95,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-05-05T00:00:00.000
Downtown,, , ,2012,5,6, ,0,447.84,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-05-06T00:00:00.000
Downtown,, , ,2012,5,7, ,0,466.47,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012-05-07T00:00:00.000
Downtown,, , ,2012,5,8, ,0,431.99,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2012-05-08T00:00:00.000
Downtown,, , ,2012,5,9, ,0,405.6,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2012-05-09T00:00:00.000
Downtown,, , ,2012,5,10, ,0,457.02,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2012-05-10T00:00:00.000
Downtown,, , ,2012,5,11, ,0,457.17,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2012-05-11T00:00:00.000
Downtown,, , ,2012,5,12, ,0,459.79,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-05-12T00:00:00.000
Downtown,, , ,2012,5,13, ,0,454.82,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-05-13T00:00:00.000
Downtown,, , ,2012,5,14, ,0,446.43,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012-05-14T00:00:00.000
Downtown,, , ,2012,5,15, ,0,457.89,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2012-05-15T00:00:00.000
Downtown,, , ,2012,5,16, ,0,455.73,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2012-05-16T00:00:00.000
Downtown,, , ,2012,5,17, ,0,455.55,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2012-05-17T00:00:00.000
Downtown,, , ,2012,5,18, ,0,460.95,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2012-05-18T00:00:00.000
Downtown,, , ,2012,5,19, ,0,456.39,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2012-05-19T00:00:00.000
Downtown,, , ,2012,5,20, ,0,443.41,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-05-20T00:00:00.000
Downtown,, , ,2012,5,21, ,0,452.59,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012-05-21T00:00:00.000
Downtown,, , ,2012,5,22, ,0,426.73,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2012-05-22T00:00:00.000
Downtown,, , ,2012,5,23, ,0,460.62,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2012-05-23T00:00:00.000
Downtown,, , ,2012,5,24, ,0,449.12,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2012-05-24T00:00:00.000
