data,e,c,h,g,h2
2002-01,22.9,125.4,419.1,2.1,13.89
2002-02,28.6,129.2,431.8,2.1,14.31
2002-03,25.9,117.8,393.7,2.1,13.05
2002-04,25.3,87.4,292.1,2.1,9.68
2002-05,27.4,45.6,152.4,2.7,5.05
2002-06,31.6,30.4,101.6,2.5,3.37
2002-07,30.6,22.8,76.2,2.7,2.52
2002-08,29.8,19,63.5,2.9,2.1
2002-09,24.6,38,127,2.9,4.21
2002-10,27.3,30.4,101.6,2.5,3.37
2002-11,29.9,64.6,215.9,4.7,7.15
2002-12,35.7,72.2,241.3,5.2,8
2003-01,33.55,140.66,515.9,5.3,16.64
2003-02,31.4,144.92,531.53,4.5,17.14
2003-03,38.3,132.14,484.63,4.7,15.63
2003-04,31.3,98.04,359.57,3.9,11.6
2003-05,33,51.15,187.6,3.7,6.05
2003-06,34,34.1,125.07,3.4,4.03
2003-07,36,25.57,93.8,3.7,3.02
2003-08,34.6,21.31,78.17,3.5,2.52
2003-09,31.2,42.62,156.33,3.3,5.04
2003-10,29.7,34.1,125.07,4.2,4.03
2003-11,35.4,72.46,265.77,5.1,8.57
2003-12,42.1,80.99,297.03,7.6,9.58
2004-01,38.55,166.38,478.77,6.8,18.01
2004-02,35,171.42,493.28,6.8,18.56
2004-03,40.2,156.29,449.76,6.8,16.92
2004-04,39,115.96,333.69,5.7,12.55
2004-05,36.2,60.5,174.1,5.8,6.55
2004-06,39.6,40.33,116.07,5.6,4.37
2004-07,43.6,30.25,87.05,6,3.27
2004-08,41,25.21,72.54,6.2,2.73
2004-09,38.6,50.42,145.08,6.3,5.46
2004-10,36.3,40.33,116.07,5.9,4.37
2004-11,44.1,85.71,246.64,6.3,9.28
2004-12,47,95.79,275.66,6.7,10.37
2005-01,42.2,184.39,556.32,7.1,19.52
2005-02,37.4,189.97,573.18,6.2,20.12
2005-03,45.5,173.21,522.61,7,18.34
2005-04,43.1,128.51,387.74,6,13.61
2005-05,41.2,67.05,202.3,6.6,7.1
2005-06,41,44.7,134.87,5.5,4.73
2005-07,40.9,33.52,101.15,6.3,3.55
2005-08,37.2,27.94,84.29,6.7,2.96
2005-09,36.6,55.88,168.58,6.2,5.92
2005-10,37.8,44.7,134.87,6.7,4.73
2005-11,47.9,94.99,286.59,6.6,10.06
2005-12,50.2,106.16,320.31,9,11.24
2006-01,53.4,210.92,772.61,8.8,21.45
2006-02,56.6,217.32,796.02,7.6,22.1
2006-03,43.7,198.14,725.79,7.7,20.15
2006-04,30.8,147.01,538.49,4.1,14.95
2006-05,41.3,76.7,280.95,5.7,7.8
2006-06,44.2,51.13,187.3,5.5,5.2
2006-07,49.1,38.35,140.47,6.1,3.9
2006-08,52.7,31.96,117.06,6.4,3.25
2006-09,46.9,63.92,234.12,6.1,6.5
2006-10,47.2,51.13,187.3,6.3,5.2
2006-11,52.4,108.66,398.01,7.2,11.05
2006-12,59.8,121.44,444.84,8.7,12.35
2007-01,53.8,375.92,972.26,9.1,23.92
2007-02,47.8,387.32,1001.72,8.2,24.65
2007-03,63.8,353.14,913.34,9.3,22.47
2007-04,58.3,262.01,677.64,8,16.68
2007-05,60.1,136.7,353.55,9.2,8.7
2007-06,65.9,91.13,235.7,8.7,5.8
2007-07,55.9,68.35,176.77,9,4.35
2007-08,59.7,56.96,147.31,9.3,3.62
2007-09,54,113.92,294.62,8.4,7.25
2007-10,56.5,91.13,235.7,9,5.8
2007-11,59.5,193.66,500.86,10.5,12.33
2007-12,70.9,216.44,559.79,11.8,13.77
2008-01,66.5,536.39,1047.96,12.7,47.44
2008-02,62.1,552.64,1006.99,11.7,48.88
2008-03,72.9,503.88,1029.9,11.2,44.56
2008-04,65.8,373.85,957.67,10.7,33.06
2008-05,68.8,195.05,708.35,11.1,17.25
2008-06,61.5,130.03,472.23,9.5,11.5
2008-07,78.6,97.52,354.17,11.3,8.62
2008-08,75.7,81.27,295.15,12.4,7.19
2008-09,65.4,162.54,590.29,12.1,14.38
2008-10,63.8,130.03,472.23,12.6,11.5
2008-11,70.5,276.32,1003.5,13.8,24.44
2008-12,69.6,308.83,1121.55,14.8,27.31
2009-01,65.05,476.71,1279.1,17.6,141.62
2009-02,60.5,491.16,1245.13,15.4,145.92
2009-03,77.5,447.82,1274.03,17,133.04
2009-04,72.3,332.25,1018.77,15.6,98.71
2009-05,70,173.35,792.4,15.5,51.5
2009-06,70.2,115.57,528.27,14.9,34.33
2009-07,81.9,86.67,396.2,16.1,25.75
2009-08,72.9,72.23,330.17,15.5,21.46
2009-09,65,144.46,660.33,13.4,42.92
2009-10,71.2,115.57,528.27,14.8,34.33
2009-11,79.8,245.58,1122.57,18.7,72.96
2009-12,99.1,274.47,1254.63,15.2,81.54
2010-01,87.8,594.69,1092.58,21.2,169.12
2010-02,76.5,612.71,1125.68,18.4,174.25
2010-03,85.1,558.65,1026.36,19.7,158.88
2010-04,96.4,414.48,761.49,18.6,117.88
2010-05,88.1,216.25,397.3,17.5,61.5
2010-06,85,144.17,264.87,17,41
2010-07,86,108.12,198.65,18,30.75
2010-08,86.5,90.1,165.54,16.7,25.62
2010-09,77.1,180.21,331.08,16.9,51.25
2010-10,80.6,144.17,264.87,17.3,41
2010-11,100.1,306.35,562.84,18.5,87.12
2010-12,116.6,342.4,629.06,21,97.38
2011-01,109.25,782.38,1336.12,28.3,474.38
2011-02,101.9,806.08,1573.58,24.6,488.75
2011-03,105.6,734.96,1261.21,23.6,445.62
2011-04,98,545.29,861.54,20.6,330.62
2011-05,97.3,284.5,449.5,21,172.5
2011-06,108.4,189.67,299.67,19.5,115
2011-07,112.3,142.25,224.75,20.3,86.25
2011-08,104.7,118.54,187.29,20.4,71.88
2011-09,92.3,237.08,374.58,19.5,143.75
2011-10,95.5,189.67,299.67,20.5,115
2011-11,94,403.04,636.79,24.3,244.38
2011-12,98,450.46,711.71,29.6,273.12
2012-01,107.2,869,1715.59,30.6,627.27
2012-02,116.4,895.33,1767.57,27.8,646.28
2012-03,127.6,816.33,1611.61,28.5,589.26
2012-04,114.9,605.67,1195.71,23.4,437.19
2012-05,111.8,316,623.85,22,228.1
2012-06,112.4,210.67,415.9,22,152.07
2012-07,108.9,158,311.93,22.2,114.05
2012-08,105.5,131.67,259.94,24.2,95.04
2012-09,86.8,263.33,519.88,23.8,190.08
